proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes
SWV\SWV284-2.spass,1,12,6,17,5,7515531,-0.416666667,-6.65E-07,0.083333333,1.33E-07
GRP\GRP031-2.spass,1,12,7,17,7,5226090,-0.416666667,-9.57E-07,0,0
COM\COM001-1.spass,1,13,6,13,6,115939,0,0,0,0
SET\SET852-2.spass,1,13,5,13,5,218304,0,0,0,0
SYN\SYN006-1.spass,1,13,6,13,6,210966,0,0,0,0
SWV\SWV314-2.spass,1,13,6,13,6,255728,0,0,0,0
LCL\LCL445-2.spass,1,13,7,13,7,154097,0,0,0,0
SYN\SYN568-1.spass,1,13,6,13,6,161435,0,0,0,0
SYN\SYN593-1.spass,1,13,6,13,6,137953,0,0,0,0
LCL\LCL439-2.spass,1,13,6,13,6,159967,0,0,0,0
SYN\SYN585-1.spass,1,13,6,13,6,107135,0,0,0,0
TOP\TOP022+1.spass,1,13,6,13,6,93192,0,0,0,0
SYN\SYN596-1.spass,1,13,6,13,6,172442,0,0,0,0
SWV\SWV244-2.spass,1,13,7,13,7,508153,0,0,0,0
SYN\SYN666-1.spass,1,14,7,14,7,1476029,0,0,0,0
SYN\SYN679-1.spass,1,14,7,14,7,1311659,0,0,0,0
SYN\SYN664-1.spass,1,14,7,14,7,1983082,0,0,0,0
SYN\SYN663-1.spass,1,14,7,14,7,119609,0,0,0,0
SYN\SYN661-1.spass,1,14,7,14,7,117774,0,0,0,0
SYN\SYN670-1.spass,1,14,7,14,7,192254,0,0,0,0
SYN\SYN586-1.spass,1,14,7,14,7,310762,0,0,0,0
SYN\SYN667-1.spass,1,14,7,14,7,102364,0,0,0,0
SYN\SYN622-1.spass,1,14,7,14,7,120709,0,0,0,0
MSC\MSC005-1.spass,1,14,6,14,6,171708,0,0,0,0
SYN\SYN671-1.spass,1,14,7,14,7,102732,0,0,0,0
SYN\SYN683-1.spass,1,14,7,14,7,165470,0,0,0,0
SYN\SYN668-1.spass,1,14,7,14,7,115206,0,0,0,0
COL\COL117-2.spass,1,14,7,14,7,174643,0,0,0,0
SYN\SYN680-1.spass,1,14,7,14,7,100530,0,0,0,0
SYN\SYN665-1.spass,1,14,7,14,7,130983,0,0,0,0
SYN\SYN677-1.spass,1,14,7,14,7,104933,0,0,0,0
SYN\SYN662-1.spass,1,14,7,14,7,166204,0,0,0,0
SYN\SYN675-1.spass,1,14,7,14,7,102731,0,0,0,0
COL\COL109-2.spass,1,14,7,14,7,203261,0,0,0,0
SYN\SYN676-1.spass,1,14,7,14,7,107134,0,0,0,0
SYN\SYN674-1.spass,1,14,7,14,7,111170,0,0,0,0
SYN\SYN669-1.spass,1,14,7,14,7,107868,0,0,0,0
SYN\SYN354-1.spass,1,14,7,16,4,3969832,-0.142857143,-5.04E-07,0.214285714,7.56E-07
SYN\SYN681-1.spass,1,14,7,14,7,93926,0,0,0,0
SWV\SWV283-2.spass,1,14,6,20,5,10902730,-0.428571429,-5.50E-07,0.071428571,9.17E-08
SYN\SYN678-1.spass,1,14,7,14,7,152629,0,0,0,0
SYN\SYN660-1.spass,1,14,7,14,7,134285,0,0,0,0
SYN\SYN687-1.spass,1,14,6,15,5,15093801,-0.071428571,-6.63E-08,0.071428571,6.63E-08
SYN\SYN685-1.spass,1,14,7,14,7,85854,0,0,0,0
SYN\SYN684-1.spass,1,14,7,14,7,83653,0,0,0,0
SYN\SYN682-1.spass,1,14,7,14,7,82919,0,0,0,0
SYN\SYN620-1.spass,1,15,7,15,7,143090,0,0,0,0
SYN\SYN648-1.spass,1,15,7,19,6,21474885,-0.266666667,-1.86E-07,0.066666667,4.66E-08
GRP\GRP003-1.spass,1,15,10,22,9,49205007,-0.466666667,-1.42E-07,0.066666667,2.03E-08
SWV\SWV358-2.spass,1,15,8,15,8,138321,0,0,0,0
SWV\SWV313-2.spass,1,15,7,15,7,152262,0,0,0,0
SWV\SWV355-2.spass,1,15,8,15,8,133917,0,0,0,0
MSC\MSC003-1.spass,1,15,7,20,6,7033794,-0.333333333,-7.11E-07,0.066666667,1.42E-07
LCL\LCL433-2.spass,1,15,7,15,7,151896,0,0,0,0
SWV\SWV242-2.spass,1,15,8,15,8,120343,0,0,0,0
SET\SET842-2.spass,1,15,6,15,6,161068,0,0,0,0
SYN\SYN082-1.spass,1,15,5,15,5,93192,0,0,0,0
PLA\PLA003-1.spass,1,15,7,15,7,144558,0,0,0,0
SYN\SYN582-1.spass,1,15,7,15,7,110803,0,0,0,0
PUZ\PUZ047+1.spass,1,16,8,16,8,141990,0,0,0,0
LAT\LAT273-2.spass,1,16,9,18,6,65877934,-0.125,-3.04E-08,0.1875,4.55E-08
SYN\SYN587-1.spass,1,16,8,16,8,303425,0,0,0,0
SYN\SYN557-1.spass,1,16,9,16,9,130248,0,0,0,0
PUZ\PUZ047-1.spass,1,16,8,16,8,117774,0,0,0,0
SYN\SYN571-1.spass,1,16,8,22,8,6960047,-0.375,-8.62E-07,0,0
SYN\SYN717-1.spass,1,16,8,22,7,14918791,-0.375,-4.02E-07,0.0625,6.70E-08
SYN\SYN626-1.spass,1,16,8,23,7,4142641,-0.4375,-1.69E-06,0.0625,2.41E-07
SWV\SWV286-2.spass,1,16,7,16,7,263799,0,0,0,0
SWV\SWV328-2.spass,1,16,8,22,7,54732686,-0.375,-1.10E-07,0.0625,1.83E-08
SYN\SYN710-1.spass,1,16,7,16,7,129882,0,0,0,0
CSR\CSR070+1.spass,1,17,8,17,8,202528,0,0,0,0
SWV\SWV288-2.spass,1,17,8,17,8,312230,0,0,0,0
LCL\LCL429-2.spass,1,17,9,17,9,1336975,0,0,0,0
SYN\SYN655-1.spass,1,17,9,17,9,539707,0,0,0,0
SYN\SYN352-1.spass,1,17,8,17,8,314432,0,0,0,0
SYN\SYN654-1.spass,1,17,9,17,9,290949,0,0,0,0
LCL\LCL430-2.spass,1,17,9,17,9,606482,0,0,0,0
LCL\LCL443-2.spass,1,17,9,17,9,331308,0,0,0,0
SYN\SYN719-1.spass,1,17,8,17,8,265267,0,0,0,0
COL\COL110-2.spass,1,18,8,18,8,249124,0,0,0,0
SWV\SWV272-2.spass,1,18,9,18,9,1231675,0,0,0,0
SYN\SYN583-1.spass,1,18,9,25,9,11839787,-0.388888889,-5.91E-07,0,0
SYN\SYN581-1.spass,1,18,9,25,9,13637217,-0.388888889,-5.13E-07,0,0
SWV\SWV335-2.spass,1,18,9,25,8,101962315,-0.388888889,-6.87E-08,0.055555556,9.81E-09
SYN\SYN653-1.spass,1,18,9,18,9,306359,0,0,0,0
SYN\SYN706-1.spass,1,18,8,18,8,177945,0,0,0,0
SYN\SYN657-1.spass,1,18,9,24,8,10567019,-0.333333333,-5.68E-07,0.055555556,9.46E-08
SWV\SWV270-2.spass,1,18,9,18,9,936689,0,0,0,0
SWV\SWV289-2.spass,1,18,8,18,8,269670,0,0,0,0
SWV\SWV287-2.spass,1,18,8,18,8,252793,0,0,0,0
SWV\SWV271-2.spass,1,18,9,18,9,643906,0,0,0,0
COL\COL123-2.spass,1,19,8,19,8,299756,0,0,0,0
SWV\SWV245-2.spass,1,19,11,26,10,9073011,-0.368421053,-7.72E-07,0.052631579,1.10E-07
SYN\SYN311-1.spass,1,19,13,19,13,250958,0,0,0,0
SYN\SYN310-1.spass,1,19,13,19,13,116673,0,0,0,0
COM\COM002-1.spass,1,19,10,19,10,104566,0,0,0,0
SWV\SWV279-2.spass,1,19,11,19,11,849368,0,0,0,0
SYN\SYN656-1.spass,1,19,10,27,9,57993304,-0.421052632,-1.38E-07,0.052631579,1.72E-08
SWV\SWV246-2.spass,1,19,11,26,10,5374683,-0.368421053,-1.30E-06,0.052631579,1.86E-07
SYN\SYN561-1.spass,1,20,12,33,12,29042514,-0.65,-4.48E-07,0,0
SYN\SYN345-1.spass,1,20,7,21,6,5650223,-0.05,-1.77E-07,0.05,1.77E-07
MSC\MSC004-1.spass,1,20,10,26,9,10465754,-0.3,-5.73E-07,0.05,9.55E-08
SYN\SYN559-1.spass,1,20,12,33,12,39747853,-0.65,-3.27E-07,0,0
SWV\SWV329-2.spass,1,20,10,29,9,6150671,-0.45,-1.46E-06,0.05,1.63E-07
SYN\SYN613-1.spass,1,20,11,20,11,127314,0,0,0,0
SWV\SWV293-2.spass,1,20,11,30,10,8053036,-0.5,-1.24E-06,0.05,1.24E-07
SWV\SWV009-1.spass,1,21,13,24,10,98212988,-0.142857143,-3.05E-08,0.142857143,3.05E-08
COM\COM002-2.spass,1,21,12,21,12,118875,0,0,0,0
SYN\SYN554-1.spass,1,21,13,30,11,14689847,-0.428571429,-6.13E-07,0.095238095,1.36E-07
SWV\SWV290-2.spass,1,21,11,30,10,121633164,-0.428571429,-7.40E-08,0.047619048,8.22E-09
SYN\SYN312-1.spass,1,21,13,21,13,111903,0,0,0,0
GRP\GRP012+5.spass,1,21,13,29,13,9844596,-0.380952381,-8.13E-07,0,0
SWB\SWB030+2.spass,1,22,12,28,10,7509660,-0.272727273,-7.99E-07,0.090909091,2.66E-07
SYN\SYN570-1.spass,1,22,11,22,11,487974,0,0,0,0
SET\SET588+3.spass,1,22,11,22,11,186384,0,0,0,0
SET\SET830-2.spass,1,23,11,23,11,281043,0,0,0,0
SWV\SWV291-2.spass,1,23,11,23,11,491643,0,0,0,0
SYN\SYN618-1.spass,1,23,12,34,12,11529024,-0.47826087,-9.54E-07,0,0
SET\SET834-2.spass,1,23,11,23,11,214268,0,0,0,0
SWV\SWV337-2.spass,1,23,13,34,12,9228576,-0.47826087,-1.19E-06,0.043478261,1.08E-07
SYN\SYN594-1.spass,1,23,12,23,12,714716,0,0,0,0
SWV\SWV299-2.spass,1,23,15,23,15,490542,0,0,0,0
GEO\GEO002-4.spass,1,23,14,29,10,16815651,-0.260869565,-3.57E-07,0.173913043,2.38E-07
SWV\SWV315-2.spass,1,24,10,24,10,206930,0,0,0,0
SYN\SYN619-1.spass,1,24,12,35,11,8543945,-0.458333333,-1.29E-06,0.041666667,1.17E-07
SWV\SWV321-2.spass,1,24,10,24,10,363229,0,0,0,0
SYN\SYN632-1.spass,1,24,13,31,11,13224090,-0.291666667,-5.29E-07,0.083333333,1.51E-07
SWB\SWB024+2.spass,1,24,12,24,12,257562,0,0,0,0
SET\SET009+3.spass,1,25,13,25,13,242152,0,0,0,0
CSR\CSR052+1.spass,1,25,15,25,15,120710,0,0,0,0
GRP\GRP001+6.spass,1,26,16,36,15,111389016,-0.384615385,-8.98E-08,0.038461538,8.98E-09
CSR\CSR050+1.spass,1,26,14,26,14,140522,0,0,0,0
SYN\SYN604-1.spass,1,26,15,39,14,16588542,-0.5,-7.84E-07,0.038461538,6.03E-08
PUZ\PUZ035-7.spass,1,28,19,35,16,36421192,-0.25,-1.92E-07,0.107142857,8.24E-08
ANA\ANA003-4.spass,1,29,12,29,12,263799,0,0,0,0
SWV\SWV300-2.spass,1,29,15,43,14,8092661,-0.482758621,-1.73E-06,0.034482759,1.24E-07
SWV\SWV305-2.spass,1,30,16,40,15,206983823,-0.333333333,-4.83E-08,0.033333333,4.83E-09
ANA\ANA004-4.spass,1,31,13,31,13,279943,0,0,0,0
SYN\SYN569-1.spass,1,31,20,43,18,31750219,-0.387096774,-3.78E-07,0.064516129,6.30E-08
LCL\LCL442-2.spass,1,32,16,32,16,333877,0,0,0,0
SYN\SYN566-1.spass,1,32,18,32,18,17925150,0,0.00E+00,0,0.00E+00
TOP\TOP001-2.spass,1,33,16,33,16,563554,0,0,0,0
MGT\MGT036+1.spass,1,34,21,45,14,30460941,-0.323529412,-3.61E-07,0.205882353,2.30E-07
SWV\SWV292-2.spass,1,34,18,47,16,93753348,-0.382352941,-1.39E-07,0.058823529,2.13E-08
MGT\MGT036+2.spass,1,36,23,54,17,16091396,-0.5,-1.12E-06,0.166666667,3.73E-07
RNG\RNG039-2.spass,1,36,20,53,19,16000038,-0.472222222,-1.06E-06,0.027777778,6.25E-08
MGT\MGT008-1.spass,1,37,20,48,16,83491222,-0.297297297,-1.32E-07,0.108108108,4.79E-08
SWV\SWV323-2.spass,1,37,17,37,17,335345,0,0,0,0
SWV\SWV247-2.spass,1,38,26,56,23,54898157,-0.473684211,-3.28E-07,0.078947368,5.46E-08
SWV\SWV308-2.spass,1,40,21,53,20,88838755,-0.325,-1.46E-07,0.025,1.13E-08
MGT\MGT018-1.spass,1,40,21,48,17,69902802,-0.2,-1.14E-07,0.1,5.72E-08
MGT\MGT016-1.spass,1,40,21,48,17,43711081,-0.2,-1.83E-07,0.1,9.15E-08
SYN\SYN084-2.spass,1,40,22,46,19,7118914,-0.15,-8.43E-07,0.075,4.21E-07
SWB\SWB012+2.spass,1,41,22,54,20,17005338,-0.317073171,-7.64E-07,0.048780488,1.18E-07
MGT\MGT007-1.spass,1,49,27,57,23,60490410,-0.163265306,-1.32E-07,0.081632653,6.61E-08
PUZ\PUZ008-3.spass,1,49,31,49,31,1475295,0,0,0,0
