proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub
SET\SET829-2.spass,1,7,3,7,3,59804,0.0,0.0,0.0,0.0,0
MSC\MSC004-1.spass,1,20,10,26,9,7200733,-0.3,-8.332485040064671E-7,0.05,1.3887475066774452E-7,7
SWV\SWV009-1.spass,1,21,13,24,10,5575009,-0.14285714285714285,-5.38115723221254E-7,0.14285714285714285,5.38115723221254E-7,5
SYN\SYN370+1.spass,1,4,2,4,2,1299185,0.0,0.0,0.0,0.0,0
SWV\SWV337-2.spass,1,23,13,34,12,81378625,-0.4782608695652174,-1.3517062987977494E-7,0.043478260869565216,1.228823907997954E-8,11
SWV\SWV335-2.spass,1,18,9,25,8,6912351,-0.3888888888888889,-1.0126800563223713E-6,0.05555555555555555,1.4466857947462447E-7,7
SYN\SYN619-1.spass,1,24,12,35,11,7298328,-0.4583333333333333,-1.507194524554117E-6,0.041666666666666664,1.3701768405037428E-7,11
SET\SET828-2.spass,1,7,3,7,3,59071,0.0,0.0,0.0,0.0,0
MSC\MSC005-1.spass,1,14,6,14,6,147860,0.0,0.0,0.0,0.0,0
MSC\MSC003-1.spass,1,15,7,20,6,4020097,-0.3333333333333333,-1.2437510836181316E-6,0.06666666666666667,2.487502167236263E-7,6
SYN\SYN006-1.spass,1,13,6,13,6,105667,0.0,0.0,0.0,0.0,0
PUZ\PUZ035-7.spass,1,28,19,35,16,23039703,-0.25,-3.0382336091745626E-7,0.10714285714285714,1.3021001182176697E-7,9
SET\SET055-7.spass,1,6,2,6,2,49531,0.0,0.0,0.0,0.0,0
LCL\LCL438-2.spass,1,10,5,10,5,147859,0.0,0.0,0.0,0.0,0
PUZ\PUZ035-5.spass,1,9,6,9,6,288015,0.0,0.0,0.0,0.0,0
SYN\SYN031-1.spass,1,8,4,9,3,2461517,-0.125,-4.0625354202306954E-7,0.125,4.0625354202306954E-7,1
MGT\MGT018-1.spass,1,40,21,48,17,92947641,-0.2,-8.606996276538099E-8,0.1,4.3034981382690497E-8,13
MGT\MGT003-1.spass,0,31,17,-1,-1,-1,-1,-1,-1,-1,-1
MGT\MGT016-1.spass,1,40,21,48,17,54577855,-0.2,-1.4657959716445433E-7,0.1,7.328979858222717E-8,13
SYN\SYN671-1.spass,1,14,7,14,7,108234,0.0,0.0,0.0,0.0,0
SYN\SYN630-1.spass,1,11,5,11,5,157032,0.0,0.0,0.0,0.0,0
CSR\CSR050+1.spass,1,26,14,26,14,155564,0.0,0.0,0.0,0.0,0
LCL\LCL435-2.spass,1,5,2,5,2,73379,0.0,0.0,0.0,0.0,0
SYN\SYN587-1.spass,1,16,8,16,8,980350,0.0,0.0,0.0,0.0,0
LCL\LCL433-2.spass,1,15,7,15,7,148960,0.0,0.0,0.0,0.0,0
COL\COL120-2.spass,1,5,2,5,2,99429,0.0,0.0,0.0,0.0,0
SYN\SYN559-1.spass,1,20,12,33,12,10977943,-0.65,-1.1841927034964565E-6,0.0,0.0,13
TOP\TOP002-2.spass,1,5,2,5,2,44762,0.0,0.0,0.0,0.0,0
SWV\SWV273-2.spass,1,11,5,11,5,87688,0.0,0.0,0.0,0.0,0
SYN\SYN557-1.spass,1,16,9,16,9,125478,0.0,0.0,0.0,0.0,0
COL\COL105-2.spass,1,5,2,5,2,49531,0.0,0.0,0.0,0.0,0
MGT\MGT017-1.spass,0,42,23,-1,-1,-1,-1,-1,-1,-1,-1
PUZ\PUZ047-1.spass,1,16,8,16,8,115573,0.0,0.0,0.0,0.0,0
SET\SET590+3.spass,1,8,3,8,3,71545,0.0,0.0,0.0,0.0,0
SYN\SYN082+1.spass,1,9,4,11,3,1750469,-0.2222222222222222,-1.1425509392054359E-6,0.1111111111111111,5.712754696027179E-7,2
SYN\SYN571-1.spass,1,16,8,22,8,8653647,-0.375,-6.933492896116516E-7,0.0,0.0,6
SYN\SYN727-1.spass,1,5,2,5,2,45862,0.0,0.0,0.0,0.0,0
SEU\SEU167+1.spass,1,11,5,11,5,87688,0.0,0.0,0.0,0.0,0
SWV\SWV357-2.spass,1,9,4,9,4,82552,0.0,0.0,0.0,0.0,0
SWV\SWV329-2.spass,1,20,10,29,9,6184793,-0.45,-1.455182089360145E-6,0.05,1.616868988177939E-7,9
SWV\SWV314-2.spass,1,13,6,13,6,150428,0.0,0.0,0.0,0.0,0
SYN\SYN311-1.spass,1,19,13,19,13,150429,0.0,0.0,0.0,0.0,0
SYN\SYN683-1.spass,1,14,7,14,7,107134,0.0,0.0,0.0,0.0,0
SET\SET631+3.spass,1,12,6,14,5,7704483,-0.16666666666666666,-2.595891249289537E-7,0.08333333333333333,1.2979456246447685E-7,2
SYN\SYN655-1.spass,1,17,9,17,9,315532,0.0,0.0,0.0,0.0,0
SYN\SYN668-1.spass,1,14,7,14,7,98329,0.0,0.0,0.0,0.0,0
SYN\SYN653-1.spass,1,18,9,18,9,301223,0.0,0.0,0.0,0.0,0
LCL\LCL445-2.spass,1,13,7,13,7,251692,0.0,0.0,0.0,0.0,0
TOP\TOP021+1.spass,1,9,4,9,4,132083,0.0,0.0,0.0,0.0,0
ANA\ANA004-4.spass,1,31,13,31,13,273339,0.0,0.0,0.0,0.0,0
COL\COL117-2.spass,1,14,7,14,7,173543,0.0,0.0,0.0,0.0,0
SWV\SWV257-2.spass,1,5,2,5,2,44028,0.0,0.0,0.0,0.0,0
SWV\SWV242-2.spass,1,15,8,15,8,119976,0.0,0.0,0.0,0.0,0
COL\COL115-2.spass,1,5,2,5,2,71545,0.0,0.0,0.0,0.0,0
SWV\SWV255-2.spass,1,12,6,17,5,5823033,-0.4166666666666667,-8.58659052765114E-7,0.08333333333333333,1.717318105530228E-7,5
SYN\SYN310-1.spass,1,19,13,19,13,116307,0.0,0.0,0.0,0.0,0
SET\SET832-2.spass,1,7,3,7,3,51366,0.0,0.0,0.0,0.0,0
SYN\SYN680-1.spass,1,14,7,14,7,96494,0.0,0.0,0.0,0.0,0
SET\SET915+1.spass,1,5,2,5,2,41460,0.0,0.0,0.0,0.0,0
CSR\CSR072+1.spass,1,3,1,3,1,21647,0.0,0.0,0.0,0.0,0
SYN\SYN665-1.spass,1,14,7,14,7,92092,0.0,0.0,0.0,0.0,0
SET\SET913+1.spass,1,5,2,5,2,34856,0.0,0.0,0.0,0.0,0
LCL\LCL442-2.spass,1,32,16,32,16,350387,0.0,0.0,0.0,0.0,0
ANA\ANA003-4.spass,1,29,12,29,12,246555,0.0,0.0,0.0,0.0,0
SYN\SYN352-1.spass,1,17,8,17,8,357358,0.0,0.0,0.0,0.0,0
SYN\SYN568-1.spass,1,13,6,13,6,140522,0.0,0.0,0.0,0.0,0
SYN\SYN566-1.spass,0,32,18,-1,-1,-1,-1,-1,-1,-1,-1
SWV\SWV280-2.spass,1,5,2,5,2,86587,0.0,0.0,0.0,0.0,0
COM\COM002-2.spass,1,21,12,21,12,115206,0.0,0.0,0.0,0.0,0
SET\SET899+1.spass,1,7,3,7,3,47697,0.0,0.0,0.0,0.0,0
SYN\SYN593-1.spass,1,13,6,13,6,188218,0.0,0.0,0.0,0.0,0
SYN\SYN706-1.spass,1,18,8,18,8,177212,0.0,0.0,0.0,0.0,0
COM\COM002-1.spass,1,19,10,19,10,96127,0.0,0.0,0.0,0.0,0
SWV\SWV323-2.spass,1,37,17,37,17,312963,0.0,0.0,0.0,0.0,0
SET\SET859-2.spass,1,7,3,7,3,62372,0.0,0.0,0.0,0.0,0
SWV\SWV321-2.spass,1,24,10,24,10,196291,0.0,0.0,0.0,0.0,0
SET\SET842-2.spass,1,15,6,15,6,140522,0.0,0.0,0.0,0.0,0
SYN\SYN035-1.spass,1,9,6,9,6,574195,0.0,0.0,0.0,0.0,0
SYN\SYN048-1.spass,1,3,1,3,1,23114,0.0,0.0,0.0,0.0,0
SYN\SYN677-1.spass,1,14,7,14,7,92458,0.0,0.0,0.0,0.0,0
SYN\SYN662-1.spass,1,14,7,14,7,93559,0.0,0.0,0.0,0.0,0
SYN\SYN675-1.spass,1,14,7,14,7,95026,0.0,0.0,0.0,0.0,0
CSR\CSR054+1.spass,1,5,2,5,2,33021,0.0,0.0,0.0,0.0,0
SYN\SYN632-1.spass,1,24,13,31,11,13818465,-0.2916666666666667,-5.065685660455051E-7,0.08333333333333333,1.4473387601300146E-7,8
CSR\CSR052+1.spass,1,25,15,25,15,116673,0.0,0.0,0.0,0.0,0
LCL\LCL439-2.spass,1,13,6,13,6,224541,0.0,0.0,0.0,0.0,0
SWV\SWV320-2.spass,1,7,3,7,3,61638,0.0,0.0,0.0,0.0,0
SYN\SYN604-1.spass,1,26,15,39,14,14667466,-0.5,-8.863153321780327E-7,0.038461538461538464,6.817810247523328E-8,13
LCL\LCL437-2.spass,1,5,2,5,2,65675,0.0,0.0,0.0,0.0,0
SWV\SWV279-2.spass,1,19,11,19,11,645005,0.0,0.0,0.0,0.0,0
SWV\SWV277-2.spass,1,9,4,9,4,73380,0.0,0.0,0.0,0.0,0
COL\COL109-2.spass,1,14,7,14,7,165470,0.0,0.0,0.0,0.0,0
SYN\SYN034-1.spass,1,11,5,12,4,3260252,-0.09090909090909091,-3.067247562458362E-7,0.09090909090909091,3.067247562458362E-7,2
SYN\SYN676-1.spass,1,14,7,14,7,91357,0.0,0.0,0.0,0.0,0
SYN\SYN674-1.spass,1,14,7,14,7,94292,0.0,0.0,0.0,0.0,0
SWB\SWB003+2.spass,1,3,1,3,1,25683,0.0,0.0,0.0,0.0,0
