proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub
SWV\SWV289-2.spass,1,18,8,18,8,254260,0.0,0.0,0.0,0.0,0
SWV\SWV287-2.spass,1,18,8,18,8,304892,0.0,0.0,0.0,0.0,0
SYN\SYN084-2.spass,1,40,22,46,19,8971747,-0.15,-6.687660719812986E-7,0.075,3.343830359906493E-7,16
SWV\SWV246-2.spass,1,19,11,26,10,6860252,-0.3684210526315789,-1.0203706802607252E-6,0.05263157894736842,1.4576724003724646E-7,7
COL\COL119-2.spass,1,5,2,5,2,58704,0.0,0.0,0.0,0.0,0
SWV\SWV259-2.spass,1,9,4,9,4,73747,0.0,0.0,0.0,0.0,0
SWV\SWV244-2.spass,1,13,7,13,7,499715,0.0,0.0,0.0,0.0,0
SYN\SYN312-1.spass,1,21,13,21,13,116306,0.0,0.0,0.0,0.0,0
COL\COL104-2.spass,1,11,5,11,5,138320,0.0,0.0,0.0,0.0,0
SYN\SYN340-1.spass,1,3,1,3,1,29719,0.0,0.0,0.0,0.0,0
SYN\SYN684-1.spass,1,14,7,14,7,84753,0.0,0.0,0.0,0.0,0
SYN\SYN682-1.spass,1,14,7,14,7,86955,0.0,0.0,0.0,0.0,0
SET\SET589+3.spass,1,11,5,11,5,72646,0.0,0.0,0.0,0.0,0
CAT\CAT007-3.spass,1,7,3,7,3,40359,0.0,0.0,0.0,0.0,0
SYN\SYN341-1.spass,1,3,1,3,1,27884,0.0,0.0,0.0,0.0,0
SWV\SWV286-2.spass,1,16,7,16,7,388178,0.0,0.0,0.0,0.0,0
SWV\SWV271-2.spass,1,18,9,18,9,534570,0.0,0.0,0.0,0.0,0
SWV\SWV299-2.spass,1,23,15,23,15,273339,0.0,0.0,0.0,0.0,0
COL\COL118-2.spass,1,9,4,9,4,177945,0.0,0.0,0.0,0.0,0
SWV\SWV284-2.spass,1,12,6,17,5,17629430,-0.4166666666666667,-2.8361665691970757E-7,0.08333333333333333,5.6723331383941513E-8,5
GEO\GEO002-4.spass,1,23,14,29,10,17474600,-0.2608695652173913,-3.433554988383139E-7,0.17391304347826086,2.2890366589220926E-7,7
COL\COL103-2.spass,1,3,1,3,1,40725,0.0,0.0,0.0,0.0,0
SYN\SYN555-1.spass,1,11,5,11,5,84020,0.0,0.0,0.0,0.0,0
GRP\GRP012+5.spass,1,21,13,29,13,10103259,-0.38095238095238093,-7.918237075779212E-7,0.0,0.0,8
GRP\GRP031-2.spass,1,12,7,17,7,6322380,-0.4166666666666667,-7.908414236410971E-7,0.0,0.0,5
SWV\SWV328-2.spass,1,16,8,22,7,26257395,-0.375,-2.285070548696853E-7,0.0625,3.8084509144947546E-8,6
SYN\SYN582-1.spass,1,15,7,15,7,97595,0.0,0.0,0.0,0.0,0
MGT\MGT036+2.spass,1,36,23,54,17,19928410,-0.5,-9.032331229636484E-7,0.16666666666666666,3.0107770765454946E-7,23
RNG\RNG039-2.spass,1,36,20,53,19,98149515,-0.4722222222222222,-1.7320513504320425E-7,0.027777777777777776,1.0188537355482603E-8,17
SYN\SYN710-1.spass,1,16,7,16,7,140888,0.0,0.0,0.0,0.0,0
SEU\SEU163+3.spass,1,5,2,5,2,30453,0.0,0.0,0.0,0.0,0
SEU\SEU163+1.spass,1,5,2,5,2,28985,0.0,0.0,0.0,0.0,0
SWV\SWV312-2.spass,1,5,2,5,2,79984,0.0,0.0,0.0,0.0,0
