proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
\SWV\SWV245-2.spass,1,19,11,20,10,5839257,-0.05263157894736842,-1.7125466476299982E-7,0.05263157894736842,1.7125466476299982E-7,1,8966528
\MGT\MGT017-1.spass,1,42,23,38,18,1509124629,0.09523809523809523,2.650543184528466E-9,0.11904761904761904,3.3131789806605826E-9,2,356032037
\MGT\MGT015-1.spass,1,42,23,38,18,1570415510,0.09523809523809523,2.547096596110414E-9,0.11904761904761904,3.1838707451380176E-9,2,350800312
\SYN\SYN670-1.spass,0,14,7,14,7,2258804,0.0,0.0,0.0,0.0,0,4686170
\SWB\SWB012+2.spass,1,41,22,41,20,167511119,0.0,0.0,0.04878048780487805,1.1939505938110293E-8,1,134508579
\SYN\SYN586-1.spass,0,14,7,14,7,1296384,0.0,0.0,0.0,0.0,0,4022187
\LCL\LCL432-2.spass,0,5,2,5,2,252645,0.0,0.0,0.0,0.0,0,1059530
\TOP\TOP001-2.spass,0,33,16,33,16,3610850,0.0,0.0,0.0,0.0,0,15100275
\SWV\SWV272-2.spass,0,18,9,18,9,1327176,0.0,0.0,0.0,0.0,0,4425234
\GRP\GRP004-1.spass,1,12,7,13,6,25478456,-0.08333333333333333,-3.924884616242052E-8,0.08333333333333333,3.924884616242052E-8,1,38157286
\COL\COL104-2.spass,0,11,5,11,5,1321650,0.0,0.0,0.0,0.0,0,4630903
\SWV\SWV011+1.spass,0,5,2,5,2,238829,0.0,0.0,0.0,0.0,0,3075163
\SEU\SEU167+3.spass,0,11,5,11,5,818728,0.0,0.0,0.0,0.0,0,4457210
\SEU\SEU167+1.spass,0,11,5,11,5,460288,0.0,0.0,0.0,0.0,0,2532371
\SWV\SWV357-2.spass,0,9,4,9,4,391994,0.0,0.0,0.0,0.0,0,2344466
\SWV\SWV329-2.spass,1,20,10,22,9,3944420,-0.1,-5.070453957742836E-7,0.05,2.535226978871418E-7,2,7307361
\SWV\SWV314-2.spass,0,13,6,13,6,1075320,0.0,0.0,0.0,0.0,0,5004739
\SYN\SYN581-1.spass,0,18,9,19,9,3322676,-0.05555555555555555,-3.0096223646241765E-7,0.0,0.0,1,4909997
\GEO\GEO002-4.spass,0,23,14,23,14,20016983,0.0,0.0,0.0,0.0,0,16936687
\MGT\MGT036+1.spass,1,34,21,39,14,7545006,-0.14705882352941177,-6.626899965354567E-7,0.20588235294117646,9.277659951496394E-7,8,10260150
\SWV\SWV358-2.spass,0,15,8,15,8,2059451,0.0,0.0,0.0,0.0,0,3780990
\SWV\SWV356-2.spass,0,7,3,7,3,529765,0.0,0.0,0.0,0.0,0,2732514
\SWV\SWV315-2.spass,0,24,10,24,10,1593243,0.0,0.0,0.0,0.0,0,14173384
\SWV\SWV300-2.spass,1,29,15,31,14,7549742,-0.06896551724137931,-2.6490971479555195E-7,0.034482758620689655,1.3245485739777598E-7,2,9264965
\SWV\SWV328-2.spass,1,16,8,17,7,4634456,-0.0625,-2.1577505536787922E-7,0.0625,2.1577505536787922E-7,1,6936289
\SWV\SWV313-2.spass,0,15,7,15,7,1362704,0.0,0.0,0.0,0.0,0,6671801
\SET\SET819-2.spass,0,3,1,3,1,72635,0.0,0.0,0.0,0.0,0,654113
\SYN\SYN710-1.spass,0,16,7,16,7,3425313,0.0,0.0,0.0,0.0,0,7325125
\SET\SET915+1.spass,0,5,2,5,2,207643,0.0,0.0,0.0,0.0,0,987684
\CSR\CSR072+1.spass,0,3,1,3,1,66713,0.0,0.0,0.0,0.0,0,585425
\LCL\LCL442-2.spass,0,32,16,32,16,5047767,0.0,0.0,0.0,0.0,0,12284862
\SYN\SYN622-1.spass,0,14,7,14,7,1151114,0.0,0.0,0.0,0.0,0,9572482
\SWV\SWV299-2.spass,0,23,15,23,15,5783596,0.0,0.0,0.0,0.0,0,10181988
\SYN\SYN352-1.spass,0,17,8,17,8,1093479,0.0,0.0,0.0,0.0,0,12618827
\ANA\ANA003-4.spass,0,29,12,29,12,2459341,0.0,0.0,0.0,0.0,0,12947266
\SYN\SYN568-1.spass,0,13,6,13,6,800963,0.0,0.0,0.0,0.0,0,2992659
\SWV\SWV269-2.spass,0,5,2,5,2,176457,0.0,0.0,0.0,0.0,0,972683
\COL\COL114-2.spass,0,5,2,5,2,387652,0.0,0.0,0.0,0.0,0,1447577
\SYN\SYN065-1.spass,0,7,3,7,3,221065,0.0,0.0,0.0,0.0,0,1325202
\MGT\MGT009-1.spass,0,37,19,37,19,1370053044,0.0,0.0,0.0,0.0,0,167005040
\GRP\GRP028-3.spass,0,8,4,8,4,1612586,0.0,0.0,0.0,0.0,0,12926343
\LCL\LCL441-2.spass,0,7,4,7,4,913469,0.0,0.0,0.0,0.0,0,2451841
\COL\COL113-2.spass,0,3,1,3,1,96321,0.0,0.0,0.0,0.0,0,828991
\SWV\SWV266-2.spass,0,5,2,5,2,150008,0.0,0.0,0.0,0.0,0,1075715
\COL\COL111-2.spass,0,5,2,5,2,296858,0.0,0.0,0.0,0.0,0,1672589
\SET\SET786-1.spass,1,11,5,10,4,4889865,0.09090909090909091,2.045046233382721E-7,0.09090909090909091,2.045046233382721E-7,0,3385048
\COM\COM002-1.spass,0,19,10,19,10,1878257,0.0,0.0,0.0,0.0,0,3825598
\ANA\ANA042-2.spass,0,3,1,3,1,126323,0.0,0.0,0.0,0.0,0,828596
\MSC\MSC004-1.spass,1,20,10,21,9,5222645,-0.05,-1.9147386046725366E-7,0.05,1.9147386046725366E-7,2,6425472
\SWV\SWV009-1.spass,1,21,13,19,10,3034503,0.09523809523809523,6.590865126842847E-7,0.14285714285714285,9.88629769026427E-7,0,3975606
\SYN\SYN370+1.spass,0,4,2,4,2,533713,0.0,0.0,0.0,0.0,0,1176773
\SWV\SWV337-2.spass,1,23,13,23,12,4813676,0.0,0.0,0.043478260869565216,2.0774144333769036E-7,0,8977186
\SEU\SEU158+1.spass,0,9,3,9,3,180799,0.0,0.0,0.0,0.0,0,1393889
\SWV\SWV335-2.spass,1,18,9,19,8,4023371,-0.05555555555555555,-2.4854779735699245E-7,0.05555555555555555,2.4854779735699245E-7,1,5531346
\SYN\SYN619-1.spass,1,24,12,24,11,3551241,0.0,0.0,0.041666666666666664,2.81591702731524E-7,1,5745305
\SWV\SWV279-2.spass,0,19,11,19,11,3229908,0.0,0.0,0.0,0.0,0,6235989
\COL\COL109-2.spass,0,14,7,14,7,2857652,0.0,0.0,0.0,0.0,0,6559690
\SYN\SYN034-1.spass,1,11,5,10,4,4499449,0.09090909090909091,2.2224943543087164E-7,0.09090909090909091,2.2224943543087164E-7,0,3095296
\SYN\SYN676-1.spass,0,14,7,14,7,1284937,0.0,0.0,0.0,0.0,0,4374705
\SYN\SYN661-1.spass,0,14,7,14,7,1284542,0.0,0.0,0.0,0.0,0,3649141
\SYN\SYN674-1.spass,0,14,7,14,7,1245460,0.0,0.0,0.0,0.0,0,3293858
\PUZ\PUZ035-7.spass,1,28,19,30,16,12966609,-0.07142857142857142,-1.5424233120625448E-7,0.10714285714285714,2.313634968093817E-7,3,10531743
\SET\SET055-7.spass,0,6,2,6,2,223827,0.0,0.0,0.0,0.0,0,1756672
\LCL\LCL438-2.spass,0,10,5,10,5,3209776,0.0,0.0,0.0,0.0,0,12758966
\SYN\SYN346-1.spass,1,4,2,4,1,1043740,0.0,0.0,0.25,9.58093011669573E-7,0,1641008
\SWV\SWV263-2.spass,0,9,4,9,4,463445,0.0,0.0,0.0,0.0,0,2908970
\PUZ\PUZ047+1.spass,0,16,8,16,8,9473791,0.0,0.0,0.0,0.0,0,6800098
\SYN\SYN031-1.spass,1,8,4,8,3,3153720,0.0,0.0,0.125,3.1708585416587397E-7,0,3277279
\MGT\MGT018-1.spass,1,40,21,38,17,418709702,0.05,4.776579072438116E-9,0.1,9.553158144876233E-9,2,243700160
\MGT\MGT016-1.spass,1,40,21,38,17,421119699,0.05,4.749243516152874E-9,0.1,9.498487032305749E-9,2,216991638
\SYN\SYN671-1.spass,0,14,7,14,7,1533239,0.0,0.0,0.0,0.0,0,3562689
\SYN\SYN630-1.spass,0,11,5,11,5,966367,0.0,0.0,0.0,0.0,0,3814544
\CSR\CSR050+1.spass,0,26,14,26,14,1361520,0.0,0.0,0.0,0.0,0,5319361
\PUZ\PUZ035-6.spass,0,9,6,9,6,577926,0.0,0.0,0.0,0.0,0,2310912
\SYN\SYN587-1.spass,0,16,8,16,8,1112033,0.0,0.0,0.0,0.0,0,4080611
\COL\COL120-2.spass,0,5,2,5,2,285804,0.0,0.0,0.0,0.0,0,1319675
\SYN\SYN570-1.spass,0,22,11,22,11,2444341,0.0,0.0,0.0,0.0,0,5114481
\SYN\SYN717-1.spass,1,16,8,17,7,3534267,-0.0625,-2.8294410128040694E-7,0.0625,2.8294410128040694E-7,1,4403523
\PUZ\PUZ047-1.spass,0,16,8,16,8,1954446,0.0,0.0,0.0,0.0,0,3343993
\SET\SET590+3.spass,0,8,3,8,3,279883,0.0,0.0,0.0,0.0,0,2989896
