bin,luCompResRatio,rpiCompResRatio,lurpiCompResRatio,rpiluCompResRatio,binDescription
9,0.0,0.13548387096774195,0.16129032258064516,0.13548387096774195,295-310
5,0.0,0.1440677966101695,0.15254237288135594,0.1440677966101695,230-246
7,0.0,0.0,0.0,0.0,263-278
16,0.4386792452830189,0.1509433962264151,0.1509433962264151,0.5141509433962265,407-422
7,0.0,0.13970588235294118,0.13970588235294118,0.13970588235294118,263-278
17,0.0,0.13901345291479822,0.18834080717488788,0.13901345291479822,423-438
16,0.0,0.0,0.0,0.0,407-422
14,0.0,0.14427860696517414,0.14427860696517414,0.14427860696517414,375-390
22,0.003745318352059925,0.0,0.003745318352059925,0.003745318352059925,506-545
11,0.0,0.13609467455621302,0.13609467455621302,0.13609467455621302,327-342
11,0.0,0.13793103448275862,0.13793103448275862,0.13793103448275862,327-342
14,0.0,0.1414141414141414,0.14646464646464646,0.1414141414141414,375-390
13,0.005154639175257732,0.0,0.005154639175257732,0.005154639175257732,359-374
18,0.33617021276595743,0.1574468085106383,0.16595744680851063,0.33617021276595743,439-456
7,0.0,0.13768115942028986,0.13768115942028986,0.13768115942028986,263-278
