proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,compressedNoSub,cumulativeLength,cumulativeLengthCompressed
SWV\SWV357-2.spass,1,9,4,9,4,82552,0,0,0,0,0,9,589,568
TOP\TOP021+1.spass,1,9,4,9,4,132083,0,0,0,0,0,9,598,577
SYN\SYN035-1.spass,1,9,6,9,6,574195,0,0,0,0,0,9,607,586
SWV\SWV277-2.spass,1,9,4,9,4,73380,0,0,0,0,0,9,616,595
SWV\SWV364-2.spass,1,9,4,9,4,88056,0,0,0,0,0,9,625,604
SYN\SYN333-1.spass,1,9,6,9,6,1122706,0,0,0,0,0,9,634,613
SWV\SWV263-2.spass,1,9,4,9,4,124012,0,0,0,0,0,9,643,622
SET\SET055-6.spass,1,9,3,9,3,60905,0,0,0,0,0,9,652,631
SWV\SWV259-2.spass,1,9,4,9,4,73747,0,0,0,0,0,9,661,640
COL\COL118-2.spass,1,9,4,9,4,177945,0,0,0,0,0,9,670,649
LCL\LCL438-2.spass,1,10,5,10,5,147859,0,0,0,0,0,10,680,659
SYN\SYN014-2.spass,1,10,5,10,5,61272,0,0,0,0,0,10,690,669
SET\SET046-5.spass,1,11,5,11,4,41632607,0,0,0.090909091,2.40E-08,1,10,701,679
SET\SET786-1.spass,1,11,5,12,4,3466816,-0.090909091,-2.88E-07,0.090909091,2.88E-07,2,10,712,689
SYN\SYN034-1.spass,1,11,5,12,4,3260252,-0.090909091,-3.07E-07,0.090909091,3.07E-07,2,10,723,699
COL\COL102-2.spass,1,11,5,11,5,275540,0,0,0,0,0,11,734,710
SEU\SEU167+3.spass,1,11,5,11,5,104566,0,0,0,0,0,11,745,721
SYN\SYN630-1.spass,1,11,5,11,5,157032,0,0,0,0,0,11,756,732
SWV\SWV273-2.spass,1,11,5,11,5,87688,0,0,0,0,0,11,767,743
SEU\SEU167+1.spass,1,11,5,11,5,87688,0,0,0,0,0,11,778,754
SWV\SWV258-2.spass,1,11,5,11,5,101263,0,0,0,0,0,11,789,765
COL\COL104-2.spass,1,11,5,11,5,138320,0,0,0,0,0,11,800,776
SET\SET589+3.spass,1,11,5,11,5,72646,0,0,0,0,0,11,811,787
SYN\SYN555-1.spass,1,11,5,11,5,84020,0,0,0,0,0,11,822,798
SWV\SWV239-2.spass,1,12,5,12,5,2699999,0,0,0,0,0,12,834,810
SYN\SYN621-1.spass,1,12,5,12,5,211699,0,0,0,0,0,12,846,822
